item;qtd_cx
PG23LA224RAM0;0
PG23LA224RAP0;0
PG23FA224SD00;0
80101073001;0
PG23LA221SK00;0
PG23FA221SD00;0
80101073002;0
PG23LA222SK00;0
PG23FA222SD00;0
80101073003;0
PG23LA223SK00;0
PG23FA223SD00;0
80101073004;0
PG23LA224SK00;0
PG23FA224SD00;0
80101073101;0
PG23LA221IN00;0
PG23FA221SD00;0
80101073102;0
PG23LA222IN00;0
PG23FA222SD00;0
80101073103;0
80101160302;0
PG23LA322ZA00;0
80101160303;0
PG23LA323ZA00;0
80101160304;0
PG23LA324ZA00;0
80101160401;0
PG23LA321ST00;0
80101160402;0
PG23LA322ST00;0
80101160403;0
PG23LA323ST00;0
80101160404;0
PG23LA324ST00;0
80101160501;0
PG23LA321MA00;0
80101160502;0
PG23LA322MA00;0
80101160503;0
PG23LA323MA00;0
80101160504;0
PG23LA324MA00;0
80101160601;0
PG23LA321ZT00;0
80101160602;0
PG23LA322ZT00;0
80101160603;0
PG23LA323ZT00;0
80101160604;0
PG23LA324ZT00;0
80101160701;0
PG23LA321TA00;0
80101160702;0
PG23LA322TA00;0
80101160703;0
PG23LA323TA00;0
80101160704;0
PG23LA324TA00;0
80101160801;0
PG23LA321GA00;0
80101160802;0
PG23LA322GA00;0
PG23LA413ZA00;0
80101170304;0
PG23LA414ZA01;0
PG23LA414ZA02;0
80101170401;0
PG23LA411ST00;0
80101170402;0
PG23LA412ST00;0
80101170403;0
PG23LA413ST00;0
80101170404;0
PG23LA414ST01;0
PG23LA414ST02;0
80101170501;0
PG23LA411ZT00;0
80101170502;0
PG23LA412ZT00;0
80101170503;0
PG23LA413ZT00;0
80101170504;0
PG23LA414ZT01;0
PG23LA414ZT02;0
80101170601;0
PG23LA411GA00;0
80101170602;0
PG23LA412GA00;0
80101170603;0
PG23LA413GA00;0
80101170604;0
PG23LA414GA01;0
PG23LA414GA02;0
80101170701;0
PG23LA411AV00;0
80101170702;0
PG23LA412AV00;0
80101170703;0
PG23LA413AV00;0
80101170704;0
PG23LA414AV01;0
PG23LA414AV02;0
80101170801;0
PG23LA411ZU00;0
80101170802;0
90101080103;0
PG23LA233DB00;0
PG23FA233DB00;0
90101080104;0
PG23LA234DB00;0
PG23FA234DB00;0
90101089801;0
90101089901;0
PG23LA235DBI0;34
90101090101;0
90101090102;0
90101090103;0
PG23LA243DB00;0
PG23FA243DB00;0
90101090104;0
PG23LA244DB00;0
PG23FA244DB00;0
90101099801;0
90101099901;28
PG23LA245DBI0;28
90101100101;0
PG23LA251DB00;0
PG23FA251DB00;0
90101100102;0
PG23LA252DB00;0
PG23FA252DB00;0
90101100103;0
PG23LA253DB00;0
PG23FA253DB00;0
90101100104;0
PG23LA254DB00;0
PG23FA254DB00;0
90101109801;0
90101109901;0
PG23LA255DBI0;30
90101110101;0
PG23LA261DB00;0
90101110102;0
PG23LA262DB00;0
90101110103;0
PG23LA263DB00;0
90101110104;0
PG23LA264DB00;0
90101119901;0
PG23LA265DBE0;0
90101120101;0
PG23LA271DB00;0
90101120102;0
PG23LA272DB00;0
90101120103;0
PG23LA273DB00;0
90101120104;0
PG23LA274DB00;0
90101129901;0
PG23LA275DBE0;0
90101157901;45
PG23LA335DBM0;34
90101157801;0
90101159401;0
PG23LA336DBC0;54
90101159403;0
PG23LA337DBC0;60
90101159501;0
PG23LA336DBB0;54
90101159503;0
PG23LA337DBB0;60
90101159601;0
PG23LA335DBW0;40
90101158201;0
PG23LA335DBW1;45
90101158101;0
PG23LA335DBW2;42
90101159701;0
PG23LA335DBS0;30
90101158401;0
PG23LA335DBS1;27
90101158301;0
PG23LA335DBS2;32
90101159801;0
90101158601;0
PG23LA335DBA1;23
90101158501;0
PG23LA335DBA2;23
90101159901;0
PG23LA335DBE0;21
90101158801;27
90101158701;0
PG23LA335DBE2;23
90101160101;0
PG23LA321DB00;0
90101160102;0
PG23LA322DB00;0
90101160103;0
PG23LA323DB00;0
90101160104;0
PG23LA324DB00;0
90101169503;0
PG23EA445DB00;0
90101168001;0
PG23LA335DBF0;43
90101167901;45
PG23LA335DBM0;34
90101167801;0
90101168101;0
PG23LA336DBC0;54
90101168103;0
PG23LA337DBC0;0
90101168201;0
PG23LA336DBB0;54
90101168203;0
PG23LA337DBB0;0
90101169601;30
PG23LA335DBW0;40
90101168401;0
PG23LA335DBW1;45
PG23LA211SD0A;0
PG23FA211SD0A;0
80101330102;0
PG23LA212SD0A;0
PG23FA212SD0A;0
80101330103;0
PG23LA213SD0A;0
PG23FA213SD0A;0
80101330104;0
PG23LA214SD0A;0
PG23FA214SD0A;0
80101069401;0
PG23LA215SDEA;0
80101069501;0
PG23LA215SDIA;0
80101340101;0
PG23LA221SD0A;0
PG23FA221SD0A;0
80101340102;0
PG23LA222SD0A;0
PG23FA222SD0A;0
PG22PA135SD00;0
81101032202;0
PG23LA132IN00;0
81101032202;0
PG23LA133IN00;0
